eta,f'(eta)
0.0,0.0
0.00800266755585,0.00265734173848
0.0160053351117,0.00531468329042
0.0240080026676,0.007972024351
0.0320106702234,0.0106293642724
0.0400133377793,0.013286702075
0.0480160053351,0.0159440366428
0.056018672891,0.0186013670338
0.0640213404468,0.0212586923059
0.0720240080027,0.0239160107249
0.0800266755585,0.0265733193434
0.0880293431144,0.029230616271
0.0960320106702,0.0318878996479
0.104034678226,0.034545167497
0.112037345782,0.037202415965
0.120040013338,0.0398596417028
0.128042680894,0.0425168418422
0.136045348449,0.0451740135149
0.144048016005,0.0478311512418
0.152050683561,0.050488254749
0.160053351117,0.0531453161987
0.168056018673,0.0558023322024
0.176058686229,0.0584592990593
0.184061353785,0.0611162112906
0.19206402134,0.0637730636234
0.200066688896,0.0664298509352
0.208069356452,0.0690865677976
0.216072024008,0.0717432084761
0.224074691564,0.0743997669308
0.23207735912,0.0770562368155
0.240080026676,0.0797126114784
0.248082694231,0.0823688842247
0.256085361787,0.0850250487725
0.264088029343,0.0876810980114
0.272090696899,0.0903370245178
0.280093364455,0.0929928206042
0.288096032011,0.0956484783191
0.296098699567,0.098303989447
0.304101367122,0.100959345509
0.312104034678,0.103614537764
0.320106702234,0.106269557837
0.32810936979,0.108924397187
0.336112037346,0.11157904668
0.344114704902,0.114233496956
0.352117372457,0.116887738433
0.360120040013,0.119541761303
0.368122707569,0.122195555533
0.376125375125,0.124849110866
0.384128042681,0.127502416825
0.392130710237,0.130155462735
0.400133377793,0.132808237684
0.408136045348,0.13546073053
0.416138712904,0.13811292991
0.42414138046,0.140764824238
0.432144048016,0.143416401701
0.440146715572,0.146067650269
0.448149383128,0.148718557682
0.456152050684,0.151369111429
0.464154718239,0.15401929899
0.472157385795,0.156669107364
0.480160053351,0.15931852343
0.488162720907,0.161967533844
0.496165388463,0.164616125037
0.504168056019,0.167264283223
0.512170723575,0.169911994389
0.52017339113,0.172559244309
0.528176058686,0.175206018597
0.536178726242,0.177852302629
0.544181393798,0.18049808154
0.552184061354,0.183143340247
0.56018672891,0.18578806345
0.568189396465,0.188432235635
0.576192064021,0.191075841068
0.584194731577,0.193718863802
0.592197399133,0.196361287675
0.600200066689,0.199003096308
0.608202734245,0.201644273109
0.616205401801,0.204284801271
0.624208069356,0.206924663775
0.632210736912,0.209563843434
0.640213404468,0.212202322883
0.648216072024,0.214840084498
0.65621873958,0.217477110444
0.664221407136,0.220113382679
0.672224074692,0.222748882953
0.680226742247,0.225383592811
0.688229409803,0.22801749359
0.696232077359,0.230650566422
0.704234744915,0.233282792235
0.712237412471,0.235914151751
0.720240080027,0.238544625489
0.728242747583,0.241174193763
0.736245415138,0.243802836697
0.744248082694,0.246430534249
0.75225075025,0.249057266148
0.760253417806,0.25168301192
0.768256085362,0.254307750895
0.776258752918,0.2569314622
0.784261420473,0.25955412477
0.792264088029,0.262175717339
0.800266755585,0.264796218449
0.808269423141,0.267415606444
0.816272090697,0.270033859474
0.824274758253,0.272650955496
0.832277425809,0.275266872273
0.840280093364,0.277881587378
0.84828276092,0.280495078278
0.856285428476,0.283107322232
0.864288096032,0.285718296274
0.872290763588,0.288327977255
0.880293431144,0.290936341841
0.8882960987,0.293543366513
0.896298766255,0.296149027571
0.904301433811,0.298753301132
0.912304101367,0.30135616313
0.920306768923,0.303957589321
0.928309436479,0.306557555278
0.936312104035,0.3091560364
0.944314771591,0.311753007904
0.952317439146,0.314348444893
0.960320106702,0.316942322357
0.968322774258,0.319534615037
0.976325441814,0.322125297501
0.98432810937,0.32471434415
0.992330776926,0.327301729219
1.00033344448,0.329887426777
1.00833611204,0.332471410727
1.01633877959,0.335053654811
1.02434144715,0.337634132606
1.0323441147,0.340212817529
1.04034678226,0.342789682838
1.04834944982,0.345364701629
1.05635211737,0.347937846986
1.06435478493,0.350509091541
1.07235745248,0.353078408171
1.08036012004,0.355645769396
1.0883627876,0.358211147592
1.09636545515,0.360774514987
1.10436812271,0.363335843667
1.11237079026,0.365895105575
1.12037345782,0.36845227251
1.12837612538,0.371007316132
1.13637879293,0.373560207961
1.14438146049,0.376110919381
1.15238412804,0.378659421637
1.1603867956,0.381205685842
1.16838946315,0.383749683095
1.17639213071,0.386291384341
1.18439479827,0.388830760348
1.19239746582,0.391367781757
1.20040013338,0.393902419087
1.20840280093,0.39643464274
1.21640546849,0.398964422998
1.22440813605,0.401491730026
1.2324108036,0.404016533878
1.24041347116,0.406538804493
1.24841613871,0.4090585117
1.25641880627,0.411575625222
1.26442147382,0.414090114674
1.27242414138,0.416601949568
1.28042680894,0.419111099314
1.28842947649,0.421617533222
1.29643214405,0.42412122052
1.3044348116,0.426622130405
1.31243747916,0.429120231935
1.32044014672,0.431615494072
1.32844281427,0.434107885693
1.33644548183,0.436597375593
1.34444814938,0.439083932489
1.35245081694,0.441567525017
1.36045348449,0.444048121741
1.36845615205,0.446525691152
1.37645881961,0.449000201674
1.38446148716,0.451471621662
1.39246415472,0.453939919409
1.40046682227,0.456405063146
1.40846948983,0.458867021049
1.41647215739,0.461325761236
1.42447482494,0.463781251775
1.4324774925,0.46623346058
1.44048016005,0.468682355475
1.44848282761,0.471127904332
1.45648549517,0.473570074973
1.46448816272,0.476008835177
1.47249083028,0.478444152682
1.48049349783,0.480875995187
1.48849616539,0.483304330354
1.49649883294,0.485729125814
1.5045015005,0.488150349165
1.51250416806,0.490567967978
1.52050683561,0.492981949801
1.52850950317,0.495392262159
1.53651217072,0.497798872557
1.54451483828,0.500201748485
1.55251750584,0.50260085742
1.56052017339,0.50499616682
